sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
511,27,1,0,0,0,0,0,3.121928094887362,com,0,0
512,18,0,0,0,0,0,0,3.277613436819116,com,0,0
513,19,0,0,0,0,1,0,3.2516291673878226,com,0,0
514,27,0,0,0,0,0,0,3.4182958340544896,ma,0,0
515,23,0,0,0,0,0,0,3.202819531114783,com,0,0
516,42,1,0,0,0,2,0,3.625,com,0,0
517,42,0,0,0,0,0,0,3.625,com,0,0
518,16,0,0,0,0,0,0,2.94770277922009,com,0,0
519,35,1,0,0,0,0,0,2.9477027792200903,io,0,0
520,24,1,0,0,0,0,0,3.121928094887362,com,0,0
521,36,1,0,0,0,0,0,2.9477027792200903,io,0,0
522,23,1,0,0,0,1,0,2.94770277922009,cl,0,0
523,30,1,0,0,0,0,0,3.121928094887362,com,0,0
524,59,1,0,0,0,5,0,2.9219280948873623,app,0,0
525,59,1,0,0,0,5,0,2.9219280948873623,app,0,0
526,17,0,0,0,0,0,0,3.321928094887362,com,0,0
527,50,2,0,0,0,3,0,3.471354487013928,de,0,0
528,25,1,0,0,0,0,0,3.121928094887362,com,0,0
529,37,1,0,0,0,1,0,3.384183719779189,com,0,0
530,16,0,0,0,0,1,0,3.169925001442312,com,0,0
531,38,1,0,0,0,0,0,2.9477027792200903,io,0,0
532,26,1,0,0,0,0,0,2.94770277922009,se,0,0
533,40,1,0,0,0,0,0,2.9477027792200903,io,0,0
534,36,1,0,0,0,0,0,3.277613436819116,com,0,0
535,42,1,0,0,0,1,0,2.9477027792200903,io,0,0
536,37,1,0,0,0,0,0,2.9477027792200903,io,0,0
537,55,1,0,0,0,0,0,2.9477027792200903,io,0,0
538,42,1,0,0,0,2,0,2.9477027792200903,io,0,0
539,52,1,0,0,0,3,0,3.277613436819116,com,0,0
540,16,0,0,0,0,0,0,2.94770277922009,ba,0,0
541,42,1,0,0,0,1,0,2.9477027792200903,io,0,0
542,22,0,0,0,0,0,0,3.056564762130954,com,0,0
543,42,0,0,0,0,0,0,3.783465189601646,com,0,0
544,38,1,0,0,0,0,0,3.452819531114783,com,0,0
545,39,1,0,0,0,0,0,3.452819531114783,com,0,0
546,39,1,0,0,0,1,0,2.9477027792200903,io,0,0
547,18,0,0,0,0,0,0,3.095795255000934,ng,0,0
548,98,1,0,0,0,4,0,3.521928094887362,work,0,0
549,38,1,0,0,0,0,0,2.9477027792200903,io,0,0
550,18,0,0,0,0,0,0,2.584962500721156,fi,0,0
551,18,0,0,0,0,0,0,2.584962500721156,fi,0,0
552,42,0,0,0,0,0,0,3.2639334294856344,cat,0,0
553,40,1,0,0,0,0,0,3.188721875540867,com,0,0
554,26,0,0,0,0,0,0,3.11583409216322,com,0,0
555,24,0,0,0,0,0,0,3.1307179879273743,com,0,0
556,39,1,0,0,0,0,0,3.558518613048906,eu,0,0
557,24,1,0,0,0,1,0,3.2516291673878226,com,0,0
558,50,0,0,0,0,0,0,3.095795255000934,com,0,0
559,43,1,0,0,0,1,0,3.8801799226757376,com.br,0,0
560,46,2,0,0,0,4,0,2.521640636343318,app,0,0
561,46,1,0,0,0,1,0,2.9477027792200903,io,0,0
562,63,0,0,0,0,0,0,3.180832987205441,de,0,0
563,49,1,0,0,0,2,0,2.9477027792200903,io,0,0
564,49,0,0,0,0,0,0,3.2776134368191165,ru,0,0
565,26,0,0,0,0,0,0,3.826874881864637,com,0,0
566,46,1,0,0,0,2,0,2.9219280948873623,app,0,0
567,79,0,0,0,0,0,0,2.8464393446710154,lk,0,0
568,37,1,0,0,0,1,0,2.9219280948873623,io,0,0
569,30,1,0,0,0,0,0,2.9477027792200903,io,0,0
570,38,1,0,0,0,2,0,3.0269868333592873,app,0,0
571,46,0,0,0,0,0,0,2.8464393446710154,lk,0,0
572,23,0,0,0,0,1,0,4.0,com,0,0
573,40,1,0,0,0,1,0,2.9477027792200903,io,0,0
574,23,0,0,0,0,0,0,3.452819531114783,com,0,0
575,24,0,0,0,0,0,0,3.6168746059562227,com,0,0
576,51,1,0,0,0,0,0,2.9477027792200903,io,0,0
577,50,1,0,0,0,3,0,2.9477027792200903,io,0,0
578,41,1,0,0,0,1,0,2.9477027792200903,io,0,0
579,45,1,0,0,0,2,0,2.9477027792200903,io,0,0
580,36,1,0,0,0,0,0,2.9477027792200903,io,0,0
581,28,0,0,0,0,1,0,3.4565647621309536,gr,0,0
582,48,0,0,0,0,0,0,3.748994803525096,com.np,0,0
583,20,0,0,0,0,0,0,3.180832987205441,co.za,0,0
